"","age","workclass","education","marital.status","occupation","relationship","race","sex","capital.gain","capital.loss","hours.per.week","income"
"148",49,6,"Some-college","Divorced",5,"Not-in-family","White","Male",0,2339,50,"<=50K"
"149",34,5,"Bachelors","Married-spouse-absent",8,"Not-in-family","Asian-Pac-Islander","Male",0,2339,40,"<=50K"
"150",25,5,"Bachelors","Never-married",11,"Own-child","White","Female",0,2339,35,"<=50K"
"151",55,5,"Some-college","Never-married",2,"Not-in-family","Black","Female",0,2339,45,"<=50K"
"152",59,3,"HS-grad","Separated",12,"Other-relative","Black","Female",0,2339,40,"<=50K"
"153",28,8,"Some-college","Separated",5,"Own-child","White","Male",0,2339,40,"<=50K"
"154",43,NA,"Assoc-voc","Widowed",NA,"Not-in-family","White","Female",0,2339,36,"<=50K"
"155",56,7,"Masters","Divorced",13,"Unmarried","White","Female",0,2339,60,"<=50K"
"156",41,5,"HS-grad","Divorced",4,"Not-in-family","White","Male",0,2339,40,"<=50K"
"157",42,5,"HS-grad","Never-married",2,"Other-relative","Black","Female",0,2339,40,"<=50K"
"158",28,5,"Prof-school","Never-married",11,"Not-in-family","White","Male",0,2339,40,"<=50K"
"159",40,7,"Prof-school","Divorced",9,"Not-in-family","White","Female",0,2339,35,"<=50K"
"160",69,5,"Bachelors","Widowed",11,"Not-in-family","White","Male",0,2282,40,">50K"
"161",66,3,"HS-grad","Married-civ-spouse",4,"Husband","White","Male",0,2267,40,"<=50K"
"162",69,5,"5th-6th","Married-civ-spouse",8,"Husband","White","Male",0,2267,40,"<=50K"
"163",55,3,"Masters","Married-civ-spouse",11,"Wife","White","Female",0,2267,40,"<=50K"
"164",57,2,"HS-grad","Never-married",2,"Not-in-family","White","Male",0,2258,40,"<=50K"
"165",20,7,"Some-college","Never-married",6,"Own-child","White","Male",0,2258,10,"<=50K"
"166",33,5,"HS-grad","Divorced",4,"Not-in-family","White","Male",0,2258,84,"<=50K"
"167",30,7,"Some-college","Never-married",13,"Other-relative","Asian-Pac-Islander","Male",0,2258,40,"<=50K"
"168",40,5,"Bachelors","Never-married",14,"Not-in-family","Asian-Pac-Islander","Female",0,2258,48,"<=50K"
"169",38,5,"Some-college","Separated",8,"Not-in-family","White","Male",0,2258,55,">50K"
"170",46,8,"Assoc-acdm","Divorced",2,"Unmarried","White","Male",0,2258,38,">50K"
"171",29,5,"Bachelors","Never-married",5,"Not-in-family","White","Female",0,2258,45,">50K"
"172",57,2,"Bachelors","Never-married",2,"Not-in-family","White","Male",0,2258,40,"<=50K"
"173",39,5,"HS-grad","Never-married",4,"Own-child","White","Male",0,2258,42,">50K"
"174",47,5,"Bachelors","Divorced",5,"Not-in-family","White","Male",0,2258,40,">50K"
"175",26,5,"Bachelors","Never-married",5,"Not-in-family","White","Male",0,2258,45,">50K"
"176",27,7,"HS-grad","Never-married",4,"Not-in-family","White","Male",0,2258,50,"<=50K"
"177",23,5,"Bachelors","Never-married",11,"Own-child","White","Female",0,2258,40,">50K"
"178",34,5,"Masters","Never-married",11,"Not-in-family","White","Male",0,2258,50,"<=50K"
"179",33,5,"12th","Divorced",4,"Not-in-family","White","Male",0,2258,42,"<=50K"
"180",38,3,"Masters","Never-married",11,"Not-in-family","White","Female",0,2258,60,"<=50K"
"181",57,5,"Some-college","Widowed",2,"Unmarried","White","Female",0,2258,38,">50K"
"182",36,5,"HS-grad","Never-married",5,"Not-in-family","White","Male",0,2258,70,"<=50K"
"183",44,2,"Bachelors","Divorced",14,"Not-in-family","White","Male",0,2258,40,">50K"
"184",49,8,"Doctorate","Never-married",5,"Not-in-family","White","Female",0,2258,50,">50K"
"185",44,6,"Some-college","Never-married",13,"Not-in-family","White","Male",0,2258,60,"<=50K"
"186",55,5,"Some-college","Widowed",6,"Not-in-family","White","Male",0,2258,62,">50K"
"187",45,5,"HS-grad","Divorced",6,"Not-in-family","White","Male",0,2258,44,">50K"
"188",48,5,"HS-grad","Divorced",5,"Not-in-family","White","Female",0,2258,40,">50K"
"189",31,5,"Bachelors","Married-civ-spouse",5,"Husband","White","Male",0,2246,45,">50K"
"190",55,3,"HS-grad","Married-civ-spouse",11,"Other-relative","White","Female",0,2246,40,">50K"
"191",70,7,"Some-college","Married-civ-spouse",5,"Husband","White","Male",0,2246,40,">50K"
"192",70,7,"Masters","Married-civ-spouse",5,"Husband","White","Male",0,2246,8,">50K"
"193",73,5,"Bachelors","Married-civ-spouse",11,"Husband","White","Male",0,2246,40,">50K"
"194",72,7,"Prof-school","Married-civ-spouse",11,"Husband","White","Male",0,2246,28,">50K"
"195",31,5,"HS-grad","Separated",8,"Unmarried","White","Female",0,2238,40,"<=50K"
"196",28,5,"10th","Widowed",2,"Unmarried","White","Female",0,2238,35,"<=50K"
"197",23,7,"Bachelors","Never-married",2,"Own-child","White","Male",0,2231,40,">50K"
"198",49,3,"9th","Widowed",7,"Unmarried","White","Male",0,2231,40,">50K"
"199",27,3,"Some-college","Never-married",12,"Not-in-family","White","Male",0,2231,40,">50K"
"200",90,5,"HS-grad","Never-married",9,"Not-in-family","Black","Male",0,2206,40,"<=50K"
"201",68,5,"HS-grad","Widowed",2,"Not-in-family","White","Female",0,2206,30,"<=50K"
"202",65,5,"HS-grad","Divorced",2,"Unmarried","White","Female",0,2206,59,"<=50K"
"203",65,NA,"HS-grad","Widowed",NA,"Unmarried","White","Female",0,2206,10,"<=50K"
"204",67,5,"Bachelors","Divorced",5,"Not-in-family","White","Female",0,2206,5,"<=50K"
"205",66,3,"Bachelors","Widowed",11,"Not-in-family","Black","Female",0,2206,25,"<=50K"
"206",24,5,"Some-college","Never-married",2,"Not-in-family","White","Male",0,2205,24,"<=50K"
"207",44,7,"Some-college","Divorced",8,"Not-in-family","White","Male",0,2205,35,"<=50K"
"208",35,5,"Some-college","Never-married",2,"Own-child","White","Female",0,2205,40,"<=50K"
"209",20,5,"Assoc-acdm","Never-married",9,"Own-child","White","Female",0,2205,18,"<=50K"
"210",38,5,"HS-grad","Divorced",4,"Not-in-family","White","Male",0,2205,40,"<=50K"
"211",39,5,"Some-college","Never-married",9,"Own-child","Black","Female",0,2205,40,"<=50K"
"212",32,5,"Some-college","Never-married",8,"Other-relative","White","Female",0,2205,40,"<=50K"
"213",42,5,"7th-8th","Never-married",7,"Not-in-family","Black","Male",0,2205,40,"<=50K"
"214",63,NA,"HS-grad","Divorced",NA,"Not-in-family","White","Female",0,2205,40,"<=50K"
"215",42,6,"Masters","Divorced",5,"Unmarried","Asian-Pac-Islander","Male",0,2201,60,">50K"
"216",64,5,"11th","Married-civ-spouse",4,"Husband","White","Male",0,2179,40,"<=50K"
"217",28,5,"7th-8th","Married-civ-spouse",7,"Husband","Other","Male",0,2179,40,"<=50K"
"218",41,6,"Assoc-voc","Married-civ-spouse",13,"Husband","Other","Male",0,2179,84,"<=50K"
"219",41,7,"7th-8th","Married-civ-spouse",4,"Husband","White","Male",0,2179,40,"<=50K"
"220",58,7,"1st-4th","Married-civ-spouse",15,"Husband","White","Male",0,2179,18,"<=50K"
"221",59,8,"Some-college","Married-civ-spouse",5,"Husband","White","Male",0,2179,40,"<=50K"
"222",34,7,"HS-grad","Married-civ-spouse",6,"Wife","White","Female",0,2179,12,"<=50K"
"223",45,5,"HS-grad","Married-civ-spouse",15,"Husband","White","Male",0,2179,45,"<=50K"
"224",29,5,"HS-grad","Married-civ-spouse",2,"Wife","White","Female",0,2179,40,"<=50K"
"225",47,5,"10th","Married-civ-spouse",13,"Husband","White","Male",0,2179,52,"<=50K"
"226",40,5,"Some-college","Married-civ-spouse",8,"Husband","White","Male",0,2179,40,"<=50K"
"227",47,7,"5th-6th","Married-civ-spouse",13,"Husband","White","Male",0,2179,50,"<=50K"
"228",63,NA,"Bachelors","Married-civ-spouse",NA,"Husband","White","Male",0,2179,45,"<=50K"
"229",41,7,"HS-grad","Married-civ-spouse",7,"Husband","White","Male",0,2179,40,"<=50K"
"230",34,5,"Some-college","Married-civ-spouse",15,"Husband","Black","Male",0,2179,40,"<=50K"
"231",66,NA,"Bachelors","Married-civ-spouse",NA,"Husband","White","Male",0,2174,40,">50K"
"232",65,7,"Some-college","Married-civ-spouse",5,"Husband","White","Male",0,2174,10,">50K"
"233",70,5,"HS-grad","Married-civ-spouse",7,"Husband","White","Male",0,2174,40,">50K"
"234",75,7,"Prof-school","Married-civ-spouse",11,"Husband","White","Male",0,2174,50,">50K"
"235",65,8,"HS-grad","Married-civ-spouse",2,"Husband","White","Male",0,2174,40,">50K"
"236",65,2,"Some-college","Married-civ-spouse",5,"Husband","Black","Male",0,2174,40,">50K"
"237",73,5,"Some-college","Married-civ-spouse",11,"Husband","White","Male",0,2174,50,">50K"
"238",60,NA,"Bachelors","Married-civ-spouse",NA,"Husband","Asian-Pac-Islander","Male",0,2163,25,"<=50K"
"239",68,7,"Assoc-voc","Married-civ-spouse",11,"Husband","White","Male",0,2149,40,"<=50K"
"240",74,7,"HS-grad","Married-civ-spouse",13,"Husband","White","Male",0,2149,20,"<=50K"
"241",43,5,"5th-6th","Married-civ-spouse",8,"Wife","Asian-Pac-Islander","Female",0,2129,72,"<=50K"
"242",19,7,"11th","Married-civ-spouse",4,"Own-child","White","Male",0,2129,55,"<=50K"
"243",37,7,"HS-grad","Married-civ-spouse",4,"Husband","White","Male",0,2129,40,"<=50K"
"244",45,2,"Assoc-acdm","Divorced",2,"Unmarried","Asian-Pac-Islander","Male",0,2080,40,"<=50K"
"245",64,5,"Masters","Married-civ-spouse",11,"Husband","Asian-Pac-Islander","Male",0,2057,60,"<=50K"
"246",30,5,"HS-grad","Married-civ-spouse",15,"Husband","White","Male",0,2057,40,"<=50K"
"247",51,7,"Some-college","Married-civ-spouse",11,"Wife","White","Female",0,2057,60,"<=50K"
"248",35,5,"11th","Married-civ-spouse",4,"Husband","White","Male",0,2057,40,"<=50K"
"249",29,5,"HS-grad","Married-civ-spouse",2,"Wife","White","Female",0,2057,20,"<=50K"
"250",34,5,"Some-college","Married-civ-spouse",2,"Wife","White","Female",0,2057,40,"<=50K"
"251",41,5,"HS-grad","Married-civ-spouse",4,"Husband","White","Male",0,2051,60,"<=50K"
"252",35,5,"Some-college","Married-civ-spouse",4,"Husband","White","Male",0,2051,45,"<=50K"
"253",26,5,"Some-college","Married-civ-spouse",2,"Husband","White","Male",0,2051,40,"<=50K"
"254",54,5,"HS-grad","Married-civ-spouse",15,"Husband","White","Male",0,2051,50,"<=50K"
"255",52,3,"HS-grad","Married-civ-spouse",4,"Husband","White","Male",0,2051,40,"<=50K"
"256",50,7,"HS-grad","Married-civ-spouse",6,"Husband","White","Male",0,2051,20,"<=50K"
"257",31,5,"Some-college","Married-civ-spouse",2,"Husband","White","Male",0,2051,40,"<=50K"
"258",38,2,"HS-grad","Married-civ-spouse",15,"Husband","White","Male",0,2051,40,"<=50K"
"259",30,5,"Some-college","Married-civ-spouse",4,"Husband","White","Male",0,2051,40,"<=50K"
"260",34,3,"Bachelors","Married-civ-spouse",11,"Husband","White","Male",0,2051,40,"<=50K"
"261",31,5,"Some-college","Married-civ-spouse",13,"Husband","White","Male",0,2051,57,"<=50K"
"262",52,5,"HS-grad","Married-civ-spouse",8,"Husband","White","Male",0,2051,38,"<=50K"
"263",54,5,"HS-grad","Married-civ-spouse",4,"Husband","White","Male",0,2051,40,"<=50K"
"264",38,5,"HS-grad","Married-civ-spouse",4,"Husband","White","Male",0,2051,44,"<=50K"
"265",39,5,"HS-grad","Married-civ-spouse",8,"Husband","White","Male",0,2051,40,"<=50K"
"266",29,5,"Assoc-voc","Married-civ-spouse",14,"Husband","White","Male",0,2051,40,"<=50K"
"267",45,5,"HS-grad","Married-civ-spouse",4,"Husband","White","Male",0,2051,40,"<=50K"
"268",34,5,"HS-grad","Married-civ-spouse",15,"Husband","White","Male",0,2051,55,"<=50K"
"269",38,5,"HS-grad","Married-civ-spouse",4,"Husband","White","Male",0,2051,40,"<=50K"
"270",39,5,"10th","Married-civ-spouse",4,"Husband","White","Male",0,2051,40,"<=50K"
"271",61,5,"HS-grad","Married-civ-spouse",4,"Husband","White","Male",0,2051,20,"<=50K"
"272",43,5,"11th","Married-civ-spouse",15,"Husband","White","Male",0,2042,40,"<=50K"
"273",35,5,"Some-college","Married-civ-spouse",7,"Husband","White","Male",0,2042,40,"<=50K"
"274",46,5,"Some-college","Married-civ-spouse",13,"Husband","White","Male",0,2042,50,"<=50K"
"275",38,5,"HS-grad","Married-civ-spouse",7,"Husband","White","Male",0,2042,40,"<=50K"
"276",42,7,"HS-grad","Married-civ-spouse",4,"Husband","White","Male",0,2042,48,"<=50K"
"277",34,5,"Assoc-acdm","Married-civ-spouse",14,"Husband","White","Male",0,2042,10,"<=50K"
"278",29,5,"7th-8th","Married-civ-spouse",6,"Husband","White","Male",0,2042,40,"<=50K"
"279",32,5,"11th","Married-civ-spouse",4,"Husband","White","Male",0,2042,30,"<=50K"
"280",60,5,"HS-grad","Married-civ-spouse",12,"Husband","White","Male",0,2042,34,"<=50K"
"281",49,3,"HS-grad","Married-civ-spouse",4,"Husband","White","Male",0,2002,40,"<=50K"
"282",53,3,"HS-grad","Married-civ-spouse",9,"Husband","White","Male",0,2002,45,"<=50K"
"283",56,5,"7th-8th","Married-civ-spouse",7,"Husband","White","Male",0,2002,40,"<=50K"
"284",48,5,"11th","Married-civ-spouse",15,"Husband","White","Male",0,2002,40,"<=50K"
"285",32,2,"Bachelors","Married-civ-spouse",11,"Husband","Asian-Pac-Islander","Male",0,2002,40,"<=50K"
"286",42,7,"HS-grad","Married-civ-spouse",4,"Husband","White","Male",0,2002,40,"<=50K"
"287",32,5,"Assoc-acdm","Married-civ-spouse",11,"Husband","White","Male",0,2002,42,"<=50K"
